Frame     Decode Time (ms)    Transcode Time (ms) Encode Time (ms)    Total Time (ms)     
2609      8.0609              8.5040              9.7071              46.6780             
2610      1.7072              7.6286              21.3079             30.7115             
2611      7.4708              5.7213              15.3327             45.9912             
2612      2.7110              8.0824              23.9940             34.8585             
2620      7.7298              8.3201              9.8464              44.6725             
2621      5.2235              4.4033              9.9007              19.6245             
2623      4.9578              8.4204              26.0704             39.5188             
2626      8.7504              14.2072             21.7703             46.9731             
2632      13.0854             7.2007              16.5110             63.4457             
2633      2.8312              8.4487              11.5282             22.8873             
2635      5.3348              8.4528              13.3784             27.2385             
2652      4.7204              8.4564              14.1407             27.3830             
2656      5.2289              10.5020             14.1568             30.7822             
2658      4.1866              7.9662              15.6927             46.4738             
2675      2.3821              7.1396              21.8456             45.6368             
2679      7.3175              15.0209             15.2841             60.9410             
2680      9.1995              12.2520             7.8017              68.7433             
2681      4.0851              8.2992              15.2254             28.0563             
2682      5.7671              8.9219              18.0380             43.4776             
2683      2.7948              6.1315              24.6923             36.4722             
2700      5.2843              9.1754              41.3388             64.0951             
2701      1.9983              10.5164             26.6029             90.7382             
2702      4.5564              7.9491              6.7597              97.4735             
2705      7.4129              7.5446              9.0395              106.4390            
2709      9.4593              10.0630             9.2810              115.6590            
2710      2.4788              8.5500              15.6411             26.7444             
2717      8.3288              5.6231              18.2425             45.0046             
2718      7.6363              8.3429              11.7947             27.8524             
2720      5.2436              8.4236              17.7173             31.5275             
2723      10.5914             14.4313             16.0417             41.1453             
2756      3.0801              4.3953              20.2014             32.2673             
2772      5.3633              9.8810              18.6064             33.9224             
2790      6.5992              4.3798              14.8983             30.1130             
2791      2.8778              6.5970              16.9696             26.5193             
2793      8.6530              7.3125              13.7473             40.2041             
2794      2.7141              4.4873              11.3421             18.6260             
2796      2.7388              8.6932              19.0304             30.5482             
2801      7.5236              10.4083             11.6402             42.1149             
2802      4.6444              9.0317              13.9529             27.6997             
0         2.9597              8.2444              16.4895             44.1947             
2805      4.5555              6.8872              15.6352             27.7614             
2837      4.2360              4.4134              14.3870             23.1082             
2853      1.5548              4.7834              16.5370             22.9470             
2925      5.3718              4.3729              16.2151             40.6608             
2926      2.8738              4.3190              15.9336             23.2047             
2928      4.2485              6.1103              18.7990             29.2299             
2932      4.0301              14.9551             13.7007             42.9465             
2940      5.3368              8.9068              13.8315             28.1518             
2956      5.5596              4.3996              11.6384             21.6969             
2989      4.3830              4.3819              17.3325             40.5441             
2990      5.2630              4.4107              9.7593              19.5095             
2992      2.9461              4.9572              15.8888             27.8176             
2995      5.2273              6.9995              9.3888              21.7234             
3011      2.7994              9.7610              10.1757             22.8078             
3029      2.6593              12.7473             12.9911             29.8536             
3036      11.0376             6.4897              8.3064              38.1422             
3037      2.0303              4.4023              15.7043             22.2045             
3039      5.6214              4.4232              9.3402              19.4676             
3040      1.2399              8.3206              18.9913             29.7351             
3042      6.9718              18.7937             13.1909             42.8853             
3045      4.3592              13.8640             10.8836             53.7677             
3084      5.4917              4.3917              13.1557             28.9115             
3085      3.5563              4.3850              11.9652             19.9814             
3087      4.7659              5.6566              18.2428             28.7473             
