index   dl_delay_ms   time_diff_ms    duration_ms   total_ms      packet_size  sync_rtt_ms
357     10.82         -50.58          6.00          16.82         100000      11.45     
358     12.28         -49.13          5.76          18.04         100000      11.45     
359     11.91         -49.50          10.13         22.04         100000      11.45     
360     12.01         -49.64          11.33         23.34         100000      10.33     
361     10.46         -51.19          6.18          16.63         100000      10.33     
362     11.02         -50.63          7.15          18.17         100000      10.33     
363     10.73         -50.73          9.44          20.17         100000      10.39     
364     13.02         -48.44          13.69         26.71         100000      10.39     
365     11.04         -50.42          14.96         26.00         100000      10.39     
366     11.29         -50.43          10.37         21.66         100000      10.63     
367     12.03         -49.69          6.38          18.41         100000      10.63     
368     20.78         -40.94          4.68          25.46         100000      10.63     
369     20.17         -41.58          5.11          25.28         100000      9.99      
370     10.87         -50.88          7.86          18.73         100000      9.99      
371     10.79         -50.96          7.57          18.36         100000      9.99      
372     11.01         -50.73          4.57          15.58         100000      10.49     
373     11.09         -50.65          6.93          18.02         100000      10.49     
374     12.11         -49.63          6.61          18.72         100000      10.49     
375     24.34         -37.37          2.32          26.66         100000      10.30     
376     11.88         -49.83          22.32         34.20         100000      10.30     
377     16.27         -45.45          12.65         28.92         100000      10.30     
378     20.81         -40.51          5.06          25.87         100000      10.71     
379     20.68         -40.63          8.68          29.37         100000      10.71     
380     11.61         -49.70          6.80          18.41         100000      10.71     
381     12.06         -49.31          16.88         28.94         100000      9.82      
382     10.43         -50.94          7.11          17.54         100000      9.82      
383     10.54         -50.84          7.05          17.58         100000      9.82      
384     14.80         -48.23          10.29         25.08         100000      12.28     
385     13.43         -49.59          4.84          18.27         100000      12.28     
386     12.43         -50.59          10.39         22.82         100000      12.28     
387     20.94         -40.66          9.46          30.41         100000      14.93     
388     12.72         -48.89          13.60         26.31         100000      14.93     
389     11.78         -49.82          5.59          17.37         100000      14.93     
390     10.90         -50.93          6.47          17.37         100000      10.34     
391     11.24         -50.59          7.04          18.28         100000      10.34     
392     21.19         -40.64          3.90          25.09         100000      10.34     
393     12.54         -50.91          6.04          18.59         100000      13.03     
394     13.97         -49.49          10.63         24.60         100000      13.03     
395     14.07         -49.38          7.97          22.04         100000      13.03     
396     12.07         -51.47          6.49          18.56         100000      17.14     
397     14.22         -49.31          5.95          20.18         100000      17.14     
398     12.60         -50.93          7.67          20.28         100000      17.14     
399     21.18         -40.40          3.55          24.73         100000      10.54     
